,Date,Country,City,Perpetrator,Fatalities,Injured,Target
245,2019-12-21,Somalia,Galkayo,Al-Shabaab,8,21,"Business,Military,Private Citizens & Property"
246,2019-12-20,Yemen,Unknown,Houthi extremists (Ansar Allah),2,0,Private Citizens & Property
247,2019-12-20,Afghanistan,Kabul,Unknown,1,0,Military
248,2019-12-20,Democratic Republic of the Congo,Tshibatsi,Cooperative for the Development of the Congo (CODECO) militia,10,3,Private Citizens & Property
249,2019-12-20,Afghanistan,Almar district,Taliban,4,0,Military
250,2019-12-20,Afghanistan,Ruyi Du Ab district,Unknown,0,0,Private Citizens & Property
251,2019-12-20,Pakistan,Akhorwal,Tehrik-i-Taliban Pakistan (TTP),0,0,Business
252,2019-12-20,Afghanistan,Kuk Chinar,Taliban,4,2,Unknown
253,2019-12-20,Afghanistan,Puli Khumri,Taliban,6,2,Unknown
254,2019-12-20,Iraq,Nasiriyah,Unknown,1,0,Private Citizens & Property
255,2019-12-20,India,Etapalli,Maoists,Unknown,Unknown,Private Citizens & Property
256,2019-12-20,India,Bhamragad,Maoists,1,Unknown,Private Citizens & Property
257,2019-12-20,Yemen,At Tuhayta district,Houthi extremists (Ansar Allah),Unknown,Unknown,Private Citizens & Property
258,2019-12-21,Indonesia,Beoga,Unknown,0,0,Airports and Aircraft
259,2019-12-21,Indonesia,Beoga,Unknown,0,0,Airports and Aircraft
260,2019-12-19,Afghanistan,Jalalabad,Unknown,0,0,Government (General)
261,2019-12-19,Afghanistan,Ishkamish district,Taliban,2,0,Government (General)
262,2019-12-19,Philippines,Rombang,Unknown,0,1,Unknown
263,2019-12-19,Yemen,Jah,Houthi extremists (Ansar Allah),3,16,Military
264,2019-12-19,Yemen,Hays district,Houthi extremists (Ansar Allah),3,17,Military
265,2019-12-19,Yemen,At Tuhayta district,Houthi extremists (Ansar Allah),3,17,Military
266,2019-12-19,Yemen,Durayhami district,Houthi extremists (Ansar Allah),4,17,Military
267,2019-12-19,Iraq,Aliya Rash,Islamic State of Iraq and the Levant (ISIL),0,0,Private Citizens & Property
268,2019-12-19,Philippines,San Francisco,Unknown,1,0,Government (General)
269,2019-12-19,Pakistan,Landi Kotal,Unknown,1,3,Military
270,2019-12-19,Afghanistan,Kabul,Unknown,1,2,Private Citizens & Property
271,2019-12-19,Cameroon,Ekona,Separatists,3,5,Food or Water Supply
272,2019-12-19,Myanmar,Nga-in,Unknown,0,0,Unknown
273,2019-12-19,Mali,Mondoro,Muslim extremists,2,2,Private Citizens & Property
274,2019-12-19,India,Moga,Unknown,1,1,Journalists & Media
275,2019-12-19,Pakistan,Ouch,Unknown,0,0,Private Citizens & Property
276,2019-12-19,Israel,Sderot,Unknown,0,0,Private Citizens & Property
277,2019-12-19,Pakistan,Hathi Khan Killay,Unknown,1,1,Private Citizens & Property
278,2019-12-19,Pakistan,Dhadar,Unknown,0,0,Business
279,2019-12-19,Syria,Hulayhilah,Islamic State of Iraq and the Levant (ISIL),17,Unknown,"Utilities,Military"
280,2019-12-19,Russia,Moscow,Jihadi-inspired extremists,3,4,"Government (General),Private Citizens & Property"
281,2019-12-18,Sudan,Jabarona,Unknown,0,0,Religious Figures/Institutions
282,2019-12-18,Pakistan,Quetta,Unknown,0,0,Business
283,2019-12-18,Afghanistan,Unknown,Taliban,0,6,Religious Figures/Institutions
284,2019-12-18,Yemen,Mahfad,Al-Islah Party,Unknown,1,Terrorists/Non-state Militia
285,2019-12-18,Yemen,Unknown,Houthi extremists (Ansar Allah),Unknown,Unknown,Government (General)
286,2019-12-18,Philippines,Shariff Aguak,Unknown,0,0,Private Citizens & Property
287,2019-12-18,Syria,Mabroukah,Kurdistan Workers' Party (PKK),1,5,Private Citizens & Property
288,2019-12-18,Burkina Faso,Belhouro,Unknown,2,0,Military
289,2019-12-18,India,Raiganj,Unknown,0,7,"Private Citizens & Property,Private Citizens & Property"
290,2019-12-18,Mali,Hombori,Unknown,2,3,Military
291,2019-12-18,Chad,Kaiga,Boko Haram,14,5,Private Citizens & Property
292,2019-12-15,Iraq,Diwaniyah,Unknown,1,1,Private Citizens & Property
293,2019-12-16,Cameroon,Kumbo,Separatists,0,0,Government (General)
294,2019-12-18,Pakistan,Maidan,Tehrik-i-Taliban Pakistan (TTP),2,0,Police
295,2019-12-19,United Kingdom,Dunmurry,Unknown,0,0,Private Citizens & Property
296,2019-12-18,India,Nagpur,Unknown,0,0,Violent Political Party
297,2019-12-17,Democratic Republic of the Congo,Dungu district,Lord's Resistance Army (LRA),0,0,Private Citizens & Property
298,2019-12-17,Afghanistan,Dawlat Yar district,Taliban,1,0,Military
299,2019-12-17,Afghanistan,Muqur district,Taliban,1,1,Police
300,2019-12-17,Iraq,Baghdad,Unknown,1,0,Military
301,2019-12-17,Yemen,Durayhami district,Houthi extremists (Ansar Allah),Unknown,Unknown,Military
302,2019-12-17,Iraq,Shorah,Unknown,1,0,Private Citizens & Property
303,2019-12-17,Iraq,Mandali,Unknown,1,0,Educational Institution
304,2019-12-17,Pakistan,Islamabad,Unknown,0,0,Government (General)
305,2019-12-17,Afghanistan,Jarqadoq,Taliban,1,5,"Business,Military"
306,2019-12-17,West Bank and Gaza Strip,Bayt Jala,Palestinian Extremists,0,1,Private Citizens & Property
307,2019-12-17,Iraq,Baghdad,Unknown,1,0,Private Citizens & Property
308,2019-12-17,Iraq,Abu Sayda,Unknown,1,1,Private Citizens & Property
309,2019-12-17,Iraq,Baiji,Islamic State of Iraq and the Levant (ISIL) (suspected),3,1,Private Citizens & Property
310,2019-12-17,Afghanistan,Shahbaz,Taliban,12,2,"Military,Police"
311,2019-12-17,Yemen,Unknown,Houthi extremists (Ansar Allah),Unknown,Unknown,Government (General)
312,2019-12-17,Yemen,Unknown,Houthi extremists (Ansar Allah),Unknown,Unknown,Private Citizens & Property
313,2019-12-17,Nigeria,Ganye,Boko Haram,Unknown,4,"Private Citizens & Property,Police"
314,2019-12-17,Kenya,Fafi,Al-Shabaab,2,0,Business
315,2019-12-17,Indonesia,Kulapa,Separatists,2,0,Military
316,2019-12-17,Afghanistan,Mazari Sharif,Taliban,0,18,Private Citizens & Property
317,2019-12-17,Afghanistan,Tere Zayi district,Taliban,10,0,Private Citizens & Property
318,2019-12-17,Somalia,Balcad,Al-Shabaab,3,Unknown,"Military,Private Citizens & Property"
319,2019-12-17,Kenya,Wel Garas,Al-Shabaab,Unknown,Unknown,Business
320,2019-12-16,Democratic Republic of the Congo,Dungu district,Lord's Resistance Army (LRA),0,0,Private Citizens & Property
321,2019-12-16,Colombia,Toribio,Unknown,0,0,Business
322,2019-12-16,Afghanistan,Qudosabad,Taliban,1,1,"Private Citizens & Property,Police"
323,2019-12-16,Iraq,Abaiji,Islamic State of Iraq and the Levant (ISIL),0,5,Military
324,2019-12-16,Iraq,Basra,Unknown,5,0,Private Citizens & Property
